,sentiment_analysis,developer,release_date
4744,1,David Szymanski,2014
3932,1,Daybreak Game Company,2011
3933,1,Daybreak Game Company,2011
3934,1,Daybreak Game Company,2011
3935,1,Daybreak Game Company,2011
3936,2,Daybreak Game Company,2011
3937,0,Daybreak Game Company,2011
3938,1,Daybreak Game Company,2011
3939,0,Daybreak Game Company,2011
3940,1,Daybreak Game Company,2011
3941,1,Daybreak Game Company,2011
3942,2,Daybreak Game Company,2011
3943,1,Daybreak Game Company,2011
3944,0,Daybreak Game Company,2011
2236,2,Daybreak Game Company,2012
2237,1,Daybreak Game Company,2012
2238,1,Daybreak Game Company,2012
2239,0,Daybreak Game Company,2012
2240,2,Daybreak Game Company,2012
2241,0,Daybreak Game Company,2012
2242,2,Daybreak Game Company,2012
2243,1,Daybreak Game Company,2012
2244,1,Daybreak Game Company,2012
2245,2,Daybreak Game Company,2012
2246,1,Daybreak Game Company,2012
2247,2,Daybreak Game Company,2012
2248,2,Daybreak Game Company,2012
2249,2,Daybreak Game Company,2012
2250,0,Daybreak Game Company,2012
2251,2,Daybreak Game Company,2012
2252,2,Daybreak Game Company,2012
2253,1,Daybreak Game Company,2012
2254,1,Daybreak Game Company,2012
2255,2,Daybreak Game Company,2012
2256,0,Daybreak Game Company,2012
2257,1,Daybreak Game Company,2012
2258,2,Daybreak Game Company,2012
2259,2,Daybreak Game Company,2012
2260,1,Daybreak Game Company,2012
2261,2,Daybreak Game Company,2012
2262,1,Daybreak Game Company,2012
2263,0,Daybreak Game Company,2012
2264,2,Daybreak Game Company,2012
2265,1,Daybreak Game Company,2012
2266,2,Daybreak Game Company,2012
2267,1,Daybreak Game Company,2012
2268,2,Daybreak Game Company,2012
2269,1,Daybreak Game Company,2012
2270,2,Daybreak Game Company,2012
2271,2,Daybreak Game Company,2012
2272,1,Daybreak Game Company,2012
2273,2,Daybreak Game Company,2012
2274,1,Daybreak Game Company,2012
2275,2,Daybreak Game Company,2012
2276,2,Daybreak Game Company,2012
2277,2,Daybreak Game Company,2012
4955,2,Dead Shark Triplepunch,2014
3071,2,Deep Silver Volition,2013
3072,1,Deep Silver Volition,2013
3073,1,Deep Silver Volition,2013
3074,0,Deep Silver Volition,2013
3075,2,Deep Silver Volition,2013
3076,2,Deep Silver Volition,2013
3077,1,Deep Silver Volition,2013
3078,0,Deep Silver Volition,2013
3079,2,Deep Silver Volition,2013
3080,0,Deep Silver Volition,2013
3081,2,Deep Silver Volition,2013
3082,2,Deep Silver Volition,2013
3083,1,Deep Silver Volition,2013
3084,2,Deep Silver Volition,2013
3085,1,Deep Silver Volition,2013
3086,1,Deep Silver Volition,2013
3087,2,Deep Silver Volition,2013
3088,1,Deep Silver Volition,2013
3089,1,Deep Silver Volition,2013
3090,2,Deep Silver Volition,2013
3091,2,Deep Silver Volition,2013
3092,2,Deep Silver Volition,2013
4397,1,"Deep Silver Volition,High Voltage Software",2015
4398,2,"Deep Silver Volition,High Voltage Software",2015
5286,2,Defiant Development,2015
3427,1,"Dejobaan Games, LLC",2014
3287,2,Dennaton Games,2012
3288,2,Dennaton Games,2012
3289,1,Dennaton Games,2012
3290,1,Dennaton Games,2012
3291,1,Dennaton Games,2012
3292,1,Dennaton Games,2012
3293,2,Dennaton Games,2012
3294,2,Dennaton Games,2012
3295,2,Dennaton Games,2012
3296,2,Dennaton Games,2012
3297,2,Dennaton Games,2012
3298,2,Dennaton Games,2012
3299,0,Dennaton Games,2012
3300,0,Dennaton Games,2012
3301,1,Dennaton Games,2012
4378,2,Dennaton Games,2015
4379,0,Dennaton Games,2015
4380,1,Dennaton Games,2015
4722,2,Devespresso Games,2015
4331,0,Digerati Distribution,2013
2604,1,Digital Confectioners,2014
2605,1,Digital Confectioners,2014
2606,1,Digital Confectioners,2014
2607,2,Digital Confectioners,2014
2608,0,Digital Confectioners,2014
2609,2,Digital Confectioners,2014
5152,2,Digital Extremes,2012
5153,0,Digital Extremes,2012
2046,1,Digital Extremes,2013
2047,1,Digital Extremes,2013
2048,2,Digital Extremes,2013
2049,2,Digital Extremes,2013
2050,1,Digital Extremes,2013
2051,2,Digital Extremes,2013
2052,2,Digital Extremes,2013
2053,0,Digital Extremes,2013
2054,1,Digital Extremes,2013
2055,1,Digital Extremes,2013
2056,2,Digital Extremes,2013
2057,2,Digital Extremes,2013
2058,1,Digital Extremes,2013
2059,0,Digital Extremes,2013
2060,0,Digital Extremes,2013
2061,0,Digital Extremes,2013
2062,1,Digital Extremes,2013
2063,1,Digital Extremes,2013
2064,1,Digital Extremes,2013
2065,2,Digital Extremes,2013
2066,1,Digital Extremes,2013
2067,2,Digital Extremes,2013
2068,2,Digital Extremes,2013
2069,2,Digital Extremes,2013
2070,1,Digital Extremes,2013
2071,1,Digital Extremes,2013
2072,2,Digital Extremes,2013
2073,2,Digital Extremes,2013
2074,1,Digital Extremes,2013
2075,2,Digital Extremes,2013
2076,1,Digital Extremes,2013
2077,2,Digital Extremes,2013
2078,2,Digital Extremes,2013
2079,1,Digital Extremes,2013
2080,2,Digital Extremes,2013
2081,1,Digital Extremes,2013
2082,1,Digital Extremes,2013
2083,1,Digital Extremes,2013
2084,2,Digital Extremes,2013
2085,2,Digital Extremes,2013
2086,1,Digital Extremes,2013
2087,2,Digital Extremes,2013
2088,0,Digital Extremes,2013
2089,0,Digital Extremes,2013
2090,1,Digital Extremes,2013
2091,1,Digital Extremes,2013
2092,2,Digital Extremes,2013
2093,2,Digital Extremes,2013
2094,1,Digital Extremes,2013
2095,2,Digital Extremes,2013
2096,1,Digital Extremes,2013
2097,2,Digital Extremes,2013
2098,2,Digital Extremes,2013
2099,0,Digital Extremes,2013
2100,1,Digital Extremes,2013
2101,2,Digital Extremes,2013
2102,2,Digital Extremes,2013
2103,2,Digital Extremes,2013
5188,1,Digital Melody,2015
5240,2,Digitalmindsoft,2011
5125,2,Digitalmindsoft,2016
5105,2,Dingo Games,2015
5079,2,Dischan Media,2013
5080,2,Dischan Media,2013
2813,1,Doctor Entertainment AB,2015
2814,2,Doctor Entertainment AB,2015
2815,2,Doctor Entertainment AB,2015
2967,1,Dodge Roll,2016
4480,2,Dominique Grieshofer,2015
4481,2,Dominique Grieshofer,2015
4482,2,Dominique Grieshofer,2015
4458,0,DotEmu,2015
3150,1,Double Action Factory,2014
3151,1,Double Action Factory,2014
3152,1,Double Action Factory,2014
3153,2,Double Action Factory,2014
3154,0,Double Action Factory,2014
3155,2,Double Action Factory,2014
3156,1,Double Action Factory,2014
3783,1,Double Fine Productions,2005
3784,2,Double Fine Productions,2005
5186,1,Double Fine Productions,2011
5227,0,Double Fine Productions,2013
5270,0,Double Fine Productions,2014
3930,1,"Double Helix Games,Rainbow Studios,THQ Nordic",2010
3931,1,"Double Helix Games,Rainbow Studios,THQ Nordic",2010
4374,2,DoubleDutch Games,2016
4375,2,DoubleDutch Games,2016
4376,1,DoubleDutch Games,2016
4377,2,DoubleDutch Games,2016
3667,1,Doublesix Games,2012
3571,1,Dovetail Games,2009
3572,0,Dovetail Games,2009
3573,0,Dovetail Games,2009
3736,1,Dragonfly,2013
3737,2,Dragonfly,2013
3738,2,Dragonfly,2013
4367,1,"Dragonfly GF Co., LTD",2013
5019,1,DrinkBox Studios,2013
2130,2,Dylan Fitterer,2008
2131,1,Dylan Fitterer,2008
2132,1,Dylan Fitterer,2008
2133,2,Dylan Fitterer,2008
4578,2,Dylan Fitterer,2015
3245,1,"EA - Maxis,Aspyr (Mac)",2003
4372,1,EA Los Angeles,2007
1801,2,EA Los Angeles,2008
1802,2,EA Los Angeles,2008
1803,1,EA Los Angeles,2008
5277,1,EA Los Angeles,2009
4456,1,EA Redwood Shores,2008
4457,2,EA Redwood Shores,2008
5193,2,EasyGameStation,2010
4531,2,Ed Key and David Kanaga,2013
4532,2,Ed Key and David Kanaga,2013
4533,2,Ed Key and David Kanaga,2013
5148,0,"Eden Games,Hydravision Entertainment",2008
3918,0,Eden Industries,2012
5267,1,Eden Studios,2011
4023,1,Edge Case Games Ltd.,2016
4024,2,Edge Case Games Ltd.,2016
2165,1,Edge of Reality,2014
2166,2,Edge of Reality,2014
2167,1,Edge of Reality,2014
2168,1,Edge of Reality,2014
2169,0,Edge of Reality,2014
2170,2,Edge of Reality,2014
2171,2,Edge of Reality,2014
2172,1,Edge of Reality,2014
2173,0,Edge of Reality,2014
2174,2,Edge of Reality,2014
2175,1,Edge of Reality,2014
2176,2,Edge of Reality,2014
2177,1,Edge of Reality,2014
2178,1,Edge of Reality,2014
2179,1,Edge of Reality,2014
2180,2,Edge of Reality,2014
2181,2,Edge of Reality,2014
2182,1,Edge of Reality,2014
2183,2,Edge of Reality,2014
2184,1,Edge of Reality,2014
2185,0,Edge of Reality,2014
2186,2,Edge of Reality,2014
2187,2,Edge of Reality,2014
2188,2,Edge of Reality,2014
2189,1,Edge of Reality,2014
1688,2,Edmund McMillen and Florian Himsl,2011
1689,1,Edmund McMillen and Florian Himsl,2011
1690,1,Edmund McMillen and Florian Himsl,2011
1691,2,Edmund McMillen and Florian Himsl,2011
1692,2,Edmund McMillen and Florian Himsl,2011
1693,1,Edmund McMillen and Florian Himsl,2011
1694,1,Edmund McMillen and Florian Himsl,2011
1695,2,Edmund McMillen and Florian Himsl,2011
1696,0,Edmund McMillen and Florian Himsl,2011
1697,1,Edmund McMillen and Florian Himsl,2011
1698,1,Edmund McMillen and Florian Himsl,2011
1699,1,Edmund McMillen and Florian Himsl,2011
1700,0,Edmund McMillen and Florian Himsl,2011
1701,1,Edmund McMillen and Florian Himsl,2011
1702,0,Edmund McMillen and Florian Himsl,2011
1703,1,Edmund McMillen and Florian Himsl,2011
1704,1,Edmund McMillen and Florian Himsl,2011
1705,1,Edmund McMillen and Florian Himsl,2011
1706,2,Edmund McMillen and Florian Himsl,2011
1707,2,Edmund McMillen and Florian Himsl,2011
1708,2,Edmund McMillen and Florian Himsl,2011
1709,0,Edmund McMillen and Florian Himsl,2011
1710,2,Edmund McMillen and Florian Himsl,2011
2027,2,"Edmund McMillen, Florian Himsl",2012
2028,1,"Edmund McMillen, Florian Himsl",2012
2029,2,"Edmund McMillen, Florian Himsl",2012
4948,2,Eforb,2015
4947,2,Egamea Game Studios,2016
4112,1,Egosoft,2013
4322,2,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)",2016
4323,2,"Eidos Montreal,Feral Interactive (Linux),Feral Interactive (Mac)",2016
3828,1,"Eidos Montreal,Feral Interactive (Mac)",2013
3829,0,"Eidos Montreal,Feral Interactive (Mac)",2013
4895,1,"Eidos-Montréal,Feral Interactive (Mac)",2014
4953,0,EightyEightGames,2013
4738,1,Eko Software,2013
4022,1,Eko Software,2016
4004,2,Elecorn,2009
4005,1,Elecorn,2009
4828,1,Electronic Arts,2010
4829,2,Electronic Arts,2010
4668,1,"Elias Viglione,Jussi Kukkonen",2014
2546,2,Elijah Newman-Gomez,2014
4711,2,Empty Clip Studios,2012
4927,2,Endless Loop Studios,2013
4155,2,Endnight Games Ltd,2014
4156,2,Endnight Games Ltd,2014
4157,1,Endnight Games Ltd,2014
4158,2,Endnight Games Ltd,2014
4159,1,Endnight Games Ltd,2014
4160,2,Endnight Games Ltd,2014
4161,2,Endnight Games Ltd,2014
4162,1,Endnight Games Ltd,2014
4163,1,Endnight Games Ltd,2014
4164,2,Endnight Games Ltd,2014
4165,2,Endnight Games Ltd,2014
4166,1,Endnight Games Ltd,2014
4167,2,Endnight Games Ltd,2014
4168,0,Endnight Games Ltd,2014
4169,0,Endnight Games Ltd,2014
4170,2,Endnight Games Ltd,2014
4171,2,Endnight Games Ltd,2014
4172,2,Endnight Games Ltd,2014
4173,2,Endnight Games Ltd,2014
4174,1,Endnight Games Ltd,2014
3744,2,Ensemble Studios,2009
5290,1,Entheogen Studios LLC,2012
5099,0,Entrada Interactive LLC,2014
5303,2,"Eric Chahi,DotEmu",2013
4972,2,"Eric Hartman,Ben Garney,Anthony Rotondo",2007
4973,0,"Eric Hartman,Ben Garney,Anthony Rotondo",2007
4974,2,"Eric Hartman,Ben Garney,Anthony Rotondo",2007
4975,1,"Eric Hartman,Ben Garney,Anthony Rotondo",2007
4147,2,Erik Asmussen,2015
5031,2,"Erik Svedäng,El Huervo / Niklas Åkerblad,Tobias Sjögren,Oscar ""Ratvader"" Rydelius,Johannes Gotlén",2015
4060,2,Eugen Systems,2012
3553,2,Eugen Systems,2013
3554,2,Eugen Systems,2013
3349,1,Eugen Systems,2014
3350,2,Eugen Systems,2014
2884,2,Everything Unlimited Ltd.,2015
2885,2,Everything Unlimited Ltd.,2015
2886,2,Everything Unlimited Ltd.,2015
2887,2,Everything Unlimited Ltd.,2015
2888,1,Everything Unlimited Ltd.,2015
4514,0,Evil Tortilla Games,2015
4737,2,Evil Twin Artworks,2014
4230,2,Exato Games Studio,2013
5043,1,Excalibur,2016
4113,2,"Expansive Worlds,Avalanche Studios",2014
4114,1,"Expansive Worlds,Avalanche Studios",2014
4115,1,"Expansive Worlds,Avalanche Studios",2014
4116,1,"Expansive Worlds,Avalanche Studios",2014
4117,0,"Expansive Worlds,Avalanche Studios",2014
4118,1,"Expansive Worlds,Avalanche Studios",2014
4119,0,"Expansive Worlds,Avalanche Studios",2014
4120,1,"Expansive Worlds,Avalanche Studios",2014
4121,1,"Expansive Worlds,Avalanche Studios",2014
4122,2,"Expansive Worlds,Avalanche Studios",2014
5165,1,Eyedentity Games Inc.,2012
5166,1,Eyedentity Games Inc.,2012
4670,1,Eyzi,2015
3848,2,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3849,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3850,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3851,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3852,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3853,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3854,2,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3855,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3856,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3857,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3858,1,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3859,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3860,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
3861,0,"FIX Korea, Co.LTD,FIX Games, Co. LTD",2013
4253,2,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",2016
4254,1,"Fabio Ferrara,Davide Caio,Nicolò Azzolini,Antonio Carcagnì,Luigi Di Guida,Tommaso Vita",2016
1184,1,Facepunch Studios,2006
1185,2,Facepunch Studios,2006
1186,2,Facepunch Studios,2006
1187,2,Facepunch Studios,2006
1188,1,Facepunch Studios,2006
1189,1,Facepunch Studios,2006
1190,2,Facepunch Studios,2006
1191,1,Facepunch Studios,2006
1192,1,Facepunch Studios,2006
1193,2,Facepunch Studios,2006
1194,0,Facepunch Studios,2006
1195,0,Facepunch Studios,2006
1196,2,Facepunch Studios,2006
1197,0,Facepunch Studios,2006
1198,2,Facepunch Studios,2006
1199,2,Facepunch Studios,2006
1200,0,Facepunch Studios,2006
1201,2,Facepunch Studios,2006
1202,1,Facepunch Studios,2006
1203,2,Facepunch Studios,2006
1204,1,Facepunch Studios,2006
1205,2,Facepunch Studios,2006
1206,2,Facepunch Studios,2006
1207,2,Facepunch Studios,2006
1208,2,Facepunch Studios,2006
1209,0,Facepunch Studios,2006
1210,1,Facepunch Studios,2006
1211,1,Facepunch Studios,2006
1212,2,Facepunch Studios,2006
1213,1,Facepunch Studios,2006
1214,0,Facepunch Studios,2006
1215,2,Facepunch Studios,2006
1216,2,Facepunch Studios,2006
1217,2,Facepunch Studios,2006
1218,2,Facepunch Studios,2006
1219,1,Facepunch Studios,2006
1220,2,Facepunch Studios,2006
1221,0,Facepunch Studios,2006
1222,1,Facepunch Studios,2006
1223,0,Facepunch Studios,2006
1224,1,Facepunch Studios,2006
1225,1,Facepunch Studios,2006
1226,1,Facepunch Studios,2006
1227,0,Facepunch Studios,2006
1228,1,Facepunch Studios,2006
1229,2,Facepunch Studios,2006
1230,0,Facepunch Studios,2006
1231,1,Facepunch Studios,2006
1232,1,Facepunch Studios,2006
1233,1,Facepunch Studios,2006
1234,1,Facepunch Studios,2006
1235,0,Facepunch Studios,2006
1236,2,Facepunch Studios,2006
1237,1,Facepunch Studios,2006
1238,2,Facepunch Studios,2006
1239,2,Facepunch Studios,2006
1240,1,Facepunch Studios,2006
1241,1,Facepunch Studios,2006
1242,2,Facepunch Studios,2006
1243,1,Facepunch Studios,2006
1244,1,Facepunch Studios,2006
1245,1,Facepunch Studios,2006
1246,0,Facepunch Studios,2006
1247,2,Facepunch Studios,2006
1248,2,Facepunch Studios,2006
1249,2,Facepunch Studios,2006
1250,1,Facepunch Studios,2006
1251,0,Facepunch Studios,2006
1252,1,Facepunch Studios,2006
1253,1,Facepunch Studios,2006
1254,1,Facepunch Studios,2006
1255,1,Facepunch Studios,2006
1256,1,Facepunch Studios,2006
1257,1,Facepunch Studios,2006
1258,2,Facepunch Studios,2006
1259,1,Facepunch Studios,2006
1260,2,Facepunch Studios,2006
1261,2,Facepunch Studios,2006
1262,1,Facepunch Studios,2006
1263,1,Facepunch Studios,2006
1264,0,Facepunch Studios,2006
1265,2,Facepunch Studios,2006
1266,2,Facepunch Studios,2006
1267,2,Facepunch Studios,2006
1268,2,Facepunch Studios,2006
1269,0,Facepunch Studios,2006
1270,2,Facepunch Studios,2006
1271,0,Facepunch Studios,2006
1272,2,Facepunch Studios,2006
1273,1,Facepunch Studios,2006
1274,1,Facepunch Studios,2006
1275,2,Facepunch Studios,2006
1276,2,Facepunch Studios,2006
1277,1,Facepunch Studios,2006
1278,2,Facepunch Studios,2006
1279,2,Facepunch Studios,2006
1280,1,Facepunch Studios,2006
1281,2,Facepunch Studios,2006
1282,1,Facepunch Studios,2006
1283,2,Facepunch Studios,2006
1284,2,Facepunch Studios,2006
1285,1,Facepunch Studios,2006
1286,2,Facepunch Studios,2006
1287,0,Facepunch Studios,2006
1288,0,Facepunch Studios,2006
1289,1,Facepunch Studios,2006
1290,2,Facepunch Studios,2006
1291,1,Facepunch Studios,2006
1292,2,Facepunch Studios,2006
1293,1,Facepunch Studios,2006
1294,0,Facepunch Studios,2006
1295,2,Facepunch Studios,2006
1296,2,Facepunch Studios,2006
1297,2,Facepunch Studios,2006
1298,0,Facepunch Studios,2006
1299,2,Facepunch Studios,2006
1300,1,Facepunch Studios,2006
1301,1,Facepunch Studios,2006
1302,2,Facepunch Studios,2006
1303,2,Facepunch Studios,2006
1304,2,Facepunch Studios,2006
1305,2,Facepunch Studios,2006
1306,2,Facepunch Studios,2006
1307,1,Facepunch Studios,2006
1308,2,Facepunch Studios,2006
1309,1,Facepunch Studios,2006
1310,2,Facepunch Studios,2006
1311,1,Facepunch Studios,2006
1312,0,Facepunch Studios,2006
1313,2,Facepunch Studios,2006
1314,2,Facepunch Studios,2006
1315,2,Facepunch Studios,2006
1316,0,Facepunch Studios,2006
1317,1,Facepunch Studios,2006
1318,2,Facepunch Studios,2006
1319,1,Facepunch Studios,2006
1320,0,Facepunch Studios,2006
1321,0,Facepunch Studios,2006
1322,1,Facepunch Studios,2006
1323,1,Facepunch Studios,2006
1324,2,Facepunch Studios,2006
1325,2,Facepunch Studios,2006
1326,2,Facepunch Studios,2006
1327,1,Facepunch Studios,2006
1328,1,Facepunch Studios,2006
1329,1,Facepunch Studios,2006
1330,2,Facepunch Studios,2006
1331,2,Facepunch Studios,2006
1332,2,Facepunch Studios,2006
1333,1,Facepunch Studios,2006
1334,1,Facepunch Studios,2006
1335,2,Facepunch Studios,2006
1336,2,Facepunch Studios,2006
1337,2,Facepunch Studios,2006
1338,1,Facepunch Studios,2006
1339,2,Facepunch Studios,2006
1340,2,Facepunch Studios,2006
1341,0,Facepunch Studios,2006
1342,1,Facepunch Studios,2006
1343,2,Facepunch Studios,2006
1344,2,Facepunch Studios,2006
1345,2,Facepunch Studios,2006
1346,2,Facepunch Studios,2006
1347,1,Facepunch Studios,2006
2456,1,Facepunch Studios,2013
2457,0,Facepunch Studios,2013
2458,2,Facepunch Studios,2013
2459,0,Facepunch Studios,2013
2460,1,Facepunch Studios,2013
2461,2,Facepunch Studios,2013
2462,1,Facepunch Studios,2013
2463,0,Facepunch Studios,2013
2464,1,Facepunch Studios,2013
2465,1,Facepunch Studios,2013
2466,1,Facepunch Studios,2013
2467,0,Facepunch Studios,2013
2468,1,Facepunch Studios,2013
2469,2,Facepunch Studios,2013
2470,2,Facepunch Studios,2013
2471,1,Facepunch Studios,2013
2472,1,Facepunch Studios,2013
2473,2,Facepunch Studios,2013
2474,1,Facepunch Studios,2013
2475,2,Facepunch Studios,2013
2476,1,Facepunch Studios,2013
2477,2,Facepunch Studios,2013
2478,0,Facepunch Studios,2013
2479,2,Facepunch Studios,2013
2480,0,Facepunch Studios,2013
2481,1,Facepunch Studios,2013
2482,1,Facepunch Studios,2013
2483,1,Facepunch Studios,2013
2484,1,Facepunch Studios,2013
2485,2,Facepunch Studios,2013
2486,1,Facepunch Studios,2013
2487,0,Facepunch Studios,2013
2488,1,Facepunch Studios,2013
2489,0,Facepunch Studios,2013
2490,1,Facepunch Studios,2013
2491,0,Facepunch Studios,2013
2492,2,Facepunch Studios,2013
2493,1,Facepunch Studios,2013
2494,2,Facepunch Studios,2013
2495,2,Facepunch Studios,2013
2496,1,Facepunch Studios,2013
2497,2,Facepunch Studios,2013
2498,2,Facepunch Studios,2013
2499,1,Facepunch Studios,2013
2500,0,Facepunch Studios,2013
2501,0,Facepunch Studios,2013
2502,1,Facepunch Studios,2013
2503,2,Facepunch Studios,2013
2504,0,Facepunch Studios,2013
2505,2,Facepunch Studios,2013
2506,1,Facepunch Studios,2013
2507,2,Facepunch Studios,2013
2508,0,Facepunch Studios,2013
2509,0,Facepunch Studios,2013
2510,2,Facepunch Studios,2013
2511,1,Facepunch Studios,2013
2512,2,Facepunch Studios,2013
2513,0,Facepunch Studios,2013
2514,0,Facepunch Studios,2013
2515,2,Facepunch Studios,2013
2516,1,Facepunch Studios,2013
2517,1,Facepunch Studios,2013
2518,2,Facepunch Studios,2013
2519,2,Facepunch Studios,2013
2520,2,Facepunch Studios,2013
2521,2,Facepunch Studios,2013
2522,1,Facepunch Studios,2013
2523,2,Facepunch Studios,2013
2524,1,Facepunch Studios,2013
2525,1,Facepunch Studios,2013
2526,0,Facepunch Studios,2013
2527,1,Facepunch Studios,2013
2528,2,Facepunch Studios,2013
2529,0,Facepunch Studios,2013
2530,2,Facepunch Studios,2013
2531,1,Facepunch Studios,2013
2532,0,Facepunch Studios,2013
2533,2,Facepunch Studios,2013
2534,0,Facepunch Studios,2013
2535,2,Facepunch Studios,2013
2536,0,Facepunch Studios,2013
2537,1,Facepunch Studios,2013
2538,2,Facepunch Studios,2013
2539,1,Facepunch Studios,2013
2540,1,Facepunch Studios,2013
2541,1,Facepunch Studios,2013
5197,0,Fallen Snow Studios,2016
4399,2,Fatshark,2011
5070,2,Fatshark,2014
4135,2,Fatshark,2015
4994,2,Firaxis Games,2001
4921,2,Firaxis Games,2005
2414,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2415,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2416,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2417,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2418,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2419,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2420,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2421,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2422,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2423,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2424,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2425,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2426,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2427,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2428,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2429,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2430,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2431,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2432,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2433,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2434,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2435,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2436,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2437,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2438,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2439,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2440,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2441,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2442,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2443,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2444,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2445,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2446,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
2447,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2448,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2449,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2450,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2451,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2452,0,"Firaxis Games,Aspyr (Mac, Linux)",2010
2453,2,"Firaxis Games,Aspyr (Mac, Linux)",2010
2454,1,"Firaxis Games,Aspyr (Mac, Linux)",2010
5067,2,"Firaxis Games,Aspyr (Mac, Linux)",2012
5068,2,"Firaxis Games,Aspyr (Mac, Linux)",2013
4427,1,"Firaxis Games,Aspyr (Mac, Linux)",2014
4428,0,"Firaxis Games,Aspyr (Mac, Linux)",2014
4429,2,"Firaxis Games,Aspyr (Mac, Linux)",2014
4430,0,"Firaxis Games,Aspyr (Mac, Linux)",2014
4431,2,"Firaxis Games,Aspyr (Mac, Linux)",2014
2855,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2856,0,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2857,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2858,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2859,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2860,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2861,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2862,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2863,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2864,1,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2865,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
2866,2,"Firaxis Games,Feral Interactive (Mac),Feral Interactive (Linux)",2012
4176,2,"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",2016
4177,2,"Firaxis,Feral Interactive (Mac),Feral Interactive (Linux)",2016
4848,2,FireFly Studios,2002
3016,1,FireFly Studios,2012
3017,2,FireFly Studios,2012
3018,1,FireFly Studios,2012
3019,2,FireFly Studios,2012
3020,2,FireFly Studios,2012
